Model,Price,Brand,Mileage,Year,Fuel
Prado   TZ 3.4,840000,Toyota,163000,2005,Petrol
Bolan   VX Euro II,11450000,Suzuki,45237,2017,Petrol
Sunny,920000,Nissan,1,2000,Petrol
V2   VCT-i,1750000,FAW,61902,2020,Petrol
Ciaz   Automatic,3750000,Suzuki,46923,2017,Petrol
Jimny,370000,Suzuki,29727,2019,Petrol
Mehran   VXR Euro II,950000,Suzuki,32536,2016,Petrol
Cultus   Limited Edition,180000,Suzuki,55003,2016,Petrol
Passo   X L Package S,3750000,Toyota,43868,2018,Petrol
Karvaan   Plus,2550000,Changan,17654,2022,Petrol
Clipper   DX,1550000,Nissan,174989,2014,Petrol
Dayz   Bolero X,30350000,Nissan,11764,2018,Petrol
Stonic   EX,5350000,KIA,9172,2022,Petrol
Yaris   ATIV CVT 1.3,450000,Toyota,3332,2021,Petrol
City 5th Generation  Aspire Prosmatec 1.5 i-VTEC,450000,Honda,84815,2020,Petrol
Mehran   VXR Euro II,10250000,Suzuki,88000,2019,Petrol
Mira   X SA lll,38250000,Daihatsu,13000,2020,Petrol
Aqua   G LED Soft Leather Selection,35950000,Toyota,109800,2014,Hybrid
Yaris   ATIV X CVT 1.5,490000,Toyota,18062,2022,Petrol
Cultus   VXR,240000,Suzuki,37937,2018,Petrol
Cultus   VXR,22750000,Suzuki,78261,2019,Petrol
Vitz   F Smile Edition 1.0,300000,Toyota,10132,2014,Petrol
Hilux   Revo Rocco,1600000,Toyota,10500,2023,Diesel
City 5th Generation  Aspire 1.5 i-VTEC,3450000,Honda,80000,2017,Petrol
Alto   VXR,9850000,Suzuki,198,2012,Petrol
Prado 90 Series  TZ 3.0D,4270000,Toyota,120000,1997,Diesel
Wagon R,1860000,Suzuki,209269,2015,Petrol
Cultus   VXL,290000,Suzuki,50000,2017,Petrol
Corolla   GLi 1.3 VVTi,3150000,Toyota,81737,2015,Petrol
Corolla   GLi 1.3 VVTi,2650000,Toyota,214425,2014,Petrol
Corolla   GLi 1.3 VVTi,350000,Toyota,109995,2018,Petrol
City 6th Generation  1.5L ASPIRE CVT,490000,Honda,28500,2021,Petrol
Cultus   EURO II,13750000,Suzuki,77741,2014,Petrol
Mehran   VXR Euro II,9950000,Suzuki,55956,2014,Petrol
Elantra   GL,690000,Hyundai,241,2023,Petrol
Vezel   Hybrid Z,660000,Honda,82091,2016,Hybrid
Corolla   GLi 1.3 VVTi,380000,Toyota,18000,2012,Petrol
BR-V   i-VTEC S,570000,Honda,34269,2021,Petrol
Alsvin   1.5L DCT Lumiere,4050000,Changan,17908,2021,Petrol
Aqua   S,36250000,Toyota,152612,2014,Hybrid
Wagon R   VXR,200000,Suzuki,66704,2018,Petrol
HS   Trophy,750000,MG,32357,2021,Petrol
Corolla   GLi Automatic Limited Edition 1.6 VVTi,320000,Toyota,179512,2013,Petrol
Civic   Oriel 1.8 i-VTEC CVT,540000,Honda,49546,2017,Petrol
Cultus   VXR,2950000,Suzuki,34500,2021,Petrol
Alto   VXR,2370000,Suzuki,29600,2022,Petrol
Yaris Hatchback,42750000,Toyota,39,2021,Petrol
Dayz   Highway star X,1810000,Nissan,194000,2014,Petrol
Corolla   GLi 1.3 VVTi,4270000,Toyota,86000,2017,Petrol
Premio   X 1.8,3750000,Toyota,280212,2007,Petrol
Corolla   GLi 1.3 VVTi,370000,Toyota,181000,2016,Petrol
Aqua   L,3090000,Toyota,190000,2013,Hybrid
Dayz   X,2150000,Nissan,92000,2014,Petrol
Wagon R   VXR,190000,Suzuki,85124,2017,Petrol
