Model,Price,Brand,Mileage,Year,Fuel
87,0.0,9,0.09999909999909998,0.3968253968253968,1
99,0.0003054367745876603,15,0.19999919999919996,0.38095238095238093,5
251,0.0006108735491753207,39,0.09999909999909998,0.5079365079365079,5
87,0.0006108735491753207,9,0.07999907999907999,0.4126984126984127,5
87,0.0006108735491753207,9,0.005999005999005998,0.4126984126984127,5
245,0.0009163103237629809,39,0.127999127999128,0.5555555555555556,5
64,0.0009163103237629809,39,0.09999909999909998,0.4444444444444444,5
251,0.0009163103237629809,39,0.09999909999909998,0.6349206349206349,5
251,0.0009163103237629809,39,0.09999909999909998,0.5714285714285714,5
251,0.0009163103237629809,39,0.14999914999914998,0.8095238095238095,5
63,0.0009163103237629809,39,0.053210053210053204,0.4444444444444444,5
251,0.0009163103237629809,39,0.035595035595035594,0.6984126984126984,5
117,0.0009163103237629809,21,0.09999909999909998,0.6349206349206349,0
327,0.0012217470983506412,39,0.059999059999059995,0.7619047619047619,5
64,0.0012217470983506412,39,0.0,0.746031746031746,5
64,0.0012217470983506412,39,0.08799908799908798,0.4603174603174603,5
251,0.0012217470983506412,39,0.0017590017590017588,0.746031746031746,5
245,0.0012217470983506412,39,0.19999919999919996,0.5873015873015873,5
251,0.0012217470983506412,39,0.09654309654309653,0.7301587301587301,5
36,0.0012217470983506412,43,0.09999909999909998,0.1746031746031746,5
251,0.0015271838729383016,39,0.05426105426105426,0.7301587301587301,5
246,0.0015271838729383016,39,0.07849907849907849,0.5714285714285714,0
138,0.0015271838729383016,39,0.09799909799909798,0.6507936507936508,5
251,0.0015271838729383016,39,0.02743002743002743,0.7619047619047619,5
251,0.0015271838729383016,39,0.0866040866040866,0.7301587301587301,5
33,0.0015271838729383016,39,0.09999909999909998,0.6825396825396826,5
251,0.0015271838729383016,39,0.08313508313508312,0.7777777777777778,5
245,0.0015271838729383016,39,0.13999913999914,0.5555555555555556,5
251,0.0015271838729383016,39,0.07499907499907499,0.6825396825396826,5
245,0.0015271838729383016,39,0.2999992999993,0.47619047619047616,5
21,0.0015271838729383016,15,0.059999059999059995,0.4444444444444444,5
251,0.0015271838729383016,39,0.02209102209102209,0.746031746031746,5
246,0.0015271838729383016,39,0.017774017774017773,0.6031746031746031,0
142,0.0015271838729383016,9,0.09999909999909998,0.6825396825396826,5
138,0.0015271838729383016,39,0.07799907799907799,0.6825396825396826,5
138,0.001832620647525962,39,0.10111010111010109,0.7142857142857143,5
238,0.001832620647525962,20,0.007865007865007864,0.0,1
251,0.001832620647525962,39,0.11999911999911998,0.6984126984126984,5
99,0.001832620647525962,15,0.011899011899011897,0.5555555555555556,0
251,0.001832620647525962,39,0.2999992999993,0.7936507936507936,5
281,0.001832620647525962,16,0.00012200012200012198,0.5238095238095238,5
103,0.001832620647525962,15,0.09999909999909998,0.5714285714285714,5
138,0.001832620647525962,39,0.14999914999914998,0.7142857142857143,5
347,0.001832620647525962,16,0.09999909999909998,0.7301587301587301,5
138,0.001832620647525962,39,0.09399909399909398,0.6825396825396826,5
251,0.001832620647525962,39,0.07392307392307391,0.746031746031746,0
142,0.001832620647525962,9,0.20124920124920123,0.746031746031746,5
321,0.001832620647525962,25,0.029999029999029998,0.20634920634920634,5
138,0.001832620647525962,39,0.09999909999909998,0.7142857142857143,5
138,0.001832620647525962,39,0.07999907999907999,0.7301587301587301,5
138,0.001832620647525962,39,0.04589904589904589,0.7619047619047619,5
138,0.001832620647525962,39,2.4000024000023998e-05,0.746031746031746,5
394,0.001832620647525962,12,0.059999059999059995,0.2857142857142857,0
347,0.0021380574221136223,16,0.19199919199919196,0.6984126984126984,5
251,0.0021380574221136223,39,0.04047404047404047,0.8253968253968254,5
328,0.0021380574221136223,39,0.00012200012200012198,0.873015873015873,5
138,0.0021380574221136223,39,0.05651705651705651,0.7301587301587301,5
138,0.0021380574221136223,39,0.022579022579022577,0.7301587301587301,5
251,0.0021380574221136223,39,0.08844908844908843,0.8571428571428571,5
138,0.0021380574221136223,39,0.0991130991130991,0.746031746031746,5
